id,dealDate,dealYear,dealMonth,dealDay,sggCd,regionName,umdNm,jibun,aptNm,floor,excluUseAr,areaType,dealAmount,buildYear,dealType,updated_at,cdealType,cdealDay,cancelled,duplicate_count,group_cancelled,_resolved_type
8874,2026-08-11,2026,8,11,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,9.0,84.97,84타입,114000,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8880,2026-08-08,2026,8,8,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,18.0,84.99,84타입,94500,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8881,2026-08-06,2026,8,6,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,19.0,84.99,84타입,89800,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
15791,2026-08-29,2026,08,29,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,19.0,84.99,84타입,95500,2024,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15792,2026-08-25,2026,08,25,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,1.0,84.99,84타입,88000,2024,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15797,2026-08-22,2026,08,22,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,9.0,84.99,84타입,99000,2024,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15811,2026-08-13,2026,08,13,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,1.0,84.99,84타입,85000,2024,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15812,2026-08-13,2026,08,13,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,4.0,84.97,84타입,108500,2023,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15819,2026-08-11,2026,08,11,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,9.0,84.97,84타입,114000,2023,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
15820,2026-08-11,2026,08,11,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,9.0,84.97,84타입,110000,2023,중개거래,2026-09-06 10:26:01,,,False,2,False,중개거래
